aa,first,last,rating,resourceid
,Luca,de la Torre,64,229378
,Umaru,Bangura,63,229379
,Linus,Obexer,58,196615
,Ahmed,Kutucu,68,233502
Palhinha,João Maria,Palhinha Gonçalves,78,245762
,Sam,Hornby,58,229391
,Carl,Tremarco,62,229393
,Miguel,Vargas,60,163858
,Amro,Tarek,69,229397
João Novais,João Pedro,Barradas Novais,74,229404
Ozkoidi,Josu,Ozkoidi Alba,66,229406
,Dimitrios,Kolovos,68,229409
Iniesta,Andrés,Iniesta Luján,81,223921
,Gavin,Reilly,59,41
,Andreas,Bouchalakis,72,229419
,Yanis,Rahmani,67,223922
,Sven,Müller,63,229428
,Erik,Majetschak,60,234846
,Adrián,Zendejas,62,245769
,Michel,Vlap,72,229433
,Stefan,Gartenmann,64,229435
,Florian,Ayé,70,229436
,Joris,Chougrani,65,229448
Gil Dias,Gil,Bastião Dias,71,248780
,Lorenzo,Dickmann,70,229453
,Alessandro,Diamanti,75,229456
,Gabriel,Bares,58,163925
,Cris,Martínez,68,256697
,Jean,Meneses,73,229466
Jean Cléber,Jean Cléber,Santos da Silva,65,229469
,Finn,Porath,66,234853
Costinha,João José,Pereira da Costa,68,229472
,Waldemar,Anton,72,229473
,Mike-Steven,Bähre,65,229476
Iván Jaime,Iván,Jaime Pajuelo,62,229477
,Pierre,Bardy,65,246070
Vitor Carvalho,Vitor,Carvalho Vieira,66,248781
,Lukas,Klünter,72,255471
,Fernando,Madrigal,64,229487
,Houboulang,Mendes,67,229488
,Noah,Falk,51,234856
Miguel Vieira,Luís Miguel,Vieira da Silva,70,256702
,Miguel,Fraga,70,229494
Marco Baixinho,Marco João,Costa Baixinho,68,169321
Jaquité,João,Lamine Jaquité,69,229496
,Frederik,Lauenborg,62,229500
,Sven,Sprangler,64,229504
,Julius,Ertlthaler,61,229508
Ángel García,Ángel,García Cabezali,65,229513
Mayoral,David,Mayoral Lastras,68,229515
Toni Villa,Antonio,Villa Suárez,77,229516
Francisco Ramos,Francisco,Neto Ramos,67,229517
,Maksym,Malyshev,70,229522
,Sergiy,Gryn,63,229526
,Mykola,Matvienko,73,229527
,Rick,Wulle,63,229528
,René,Meléndez,64,229530
,Horacio,Tijanovich,67,229535
